#    L    TT             EE             TE             PP             TP          
   149   0.425154E+04   0.102999E+01  -0.442032E+02   0.314177E+07   0.385398E+04
   150   0.428334E+04   0.102551E+01  -0.442409E+02   0.312264E+07   0.381781E+04
   151   0.431500E+04   0.102061E+01  -0.442567E+02   0.310366E+07   0.378200E+04
   152   0.434636E+04   0.101521E+01  -0.442493E+02   0.308484E+07   0.374654E+04
   153   0.437758E+04   0.100946E+01  -0.442163E+02   0.306618E+07   0.371142E+04
   154   0.440858E+04   0.100336E+01  -0.441601E+02   0.304768E+07   0.367666E+04
   155   0.443936E+04   0.996913E+00  -0.440799E+02   0.302933E+07   0.364225E+04
   156   0.446977E+04   0.990112E+00  -0.439756E+02   0.301114E+07   0.360820E+04
   157   0.450010E+04   0.982961E+00  -0.438458E+02   0.299310E+07   0.357450E+04
   158   0.453014E+04   0.975532E+00  -0.436912E+02   0.297522E+07   0.354116E+04
   159   0.455988E+04   0.967677E+00  -0.435118E+02   0.295749E+07   0.350818E+04
   160   0.458939E+04   0.959545E+00  -0.433062E+02   0.293991E+07   0.347555E+04
   161   0.461868E+04   0.951208E+00  -0.430757E+02   0.292247E+07   0.344329E+04
   162   0.464767E+04   0.942519E+00  -0.428204E+02   0.290519E+07   0.341139E+04
   163   0.467650E+04   0.933551E+00  -0.425388E+02   0.288806E+07   0.337985E+04
   164   0.470489E+04   0.924378E+00  -0.422324E+02   0.287107E+07   0.334868E+04
   165   0.473312E+04   0.914926E+00  -0.418989E+02   0.285423E+07   0.331787E+04
   166   0.476105E+04   0.905343E+00  -0.415399E+02   0.283753E+07   0.328743E+04
   167   0.478874E+04   0.895405E+00  -0.411560E+02   0.282097E+07   0.325736E+04
   168   0.481599E+04   0.885484E+00  -0.407450E+02   0.280456E+07   0.322766E+04
   169   0.484293E+04   0.875282E+00  -0.403070E+02   0.278829E+07   0.319832E+04
   170   0.486956E+04   0.865022E+00  -0.398434E+02   0.277216E+07   0.316936E+04
   171   0.489574E+04   0.854704E+00  -0.393519E+02   0.275617E+07   0.314078E+04
   172   0.492153E+04   0.844253E+00  -0.388341E+02   0.274031E+07   0.311257E+04
   173   0.494687E+04   0.833668E+00  -0.382899E+02   0.272460E+07   0.308473E+04
   174   0.497190E+04   0.823247E+00  -0.377194E+02   0.270902E+07   0.305727E+04
   175   0.499655E+04   0.812691E+00  -0.371218E+02   0.269357E+07   0.303020E+04
   176   0.502066E+04   0.802224E+00  -0.364970E+02   0.267826E+07   0.300349E+04
   177   0.504439E+04   0.791771E+00  -0.358466E+02   0.266308E+07   0.297716E+04
   178   0.506766E+04   0.781553E+00  -0.351692E+02   0.264804E+07   0.295119E+04
   179   0.509048E+04   0.771272E+00  -0.344646E+02   0.263312E+07   0.292558E+04
   180   0.511299E+04   0.761151E+00  -0.337344E+02   0.261833E+07   0.290031E+04
   181   0.513496E+04   0.751189E+00  -0.329785E+02   0.260367E+07   0.287537E+04
   182   0.515649E+04   0.741460E+00  -0.321956E+02   0.258914E+07   0.285076E+04
   183   0.517748E+04   0.731887E+00  -0.313871E+02   0.257473E+07   0.282646E+04
   184   0.519810E+04   0.722546E+00  -0.305523E+02   0.256044E+07   0.280247E+04
   185   0.521827E+04   0.713582E+00  -0.296933E+02   0.254628E+07   0.277878E+04
   186   0.523762E+04   0.704856E+00  -0.288073E+02   0.253224E+07   0.275537E+04
   187   0.525681E+04   0.696506E+00  -0.278957E+02   0.251831E+07   0.273225E+04
   188   0.527548E+04   0.688518E+00  -0.269599E+02   0.250451E+07   0.270940E+04
   189   0.529355E+04   0.680927E+00  -0.259986E+02   0.249082E+07   0.268681E+04
   190   0.531147E+04   0.673785E+00  -0.250140E+02   0.247725E+07   0.266447E+04
